client_id,value
932747733,7040
932747733,4360
932747733,-9728
932747733,-10578
932747733,2035
932747733,-1667
932747733,-5786
932747733,929
932747733,-5705
932747733,-6408
932747733,-4332
932747733,-7021
932747733,2758
932747733,5280
932747733,-7158
932747733,-9438
932747733,1842
932747733,12804
932747733,4577
932747733,1659
932747733,3871
932747733,-4439
932747733,2262
932747733,-3991
932747733,1728
932747733,-2623
932747733,9834
932747733,2901
932747733,7490
932747733,3267
932747733,-5457
932747733,-5256
932747733,2227
932747733,787
932747733,9797
932747733,4243
932747733,-1866
932747733,4903
932747733,3243
932747733,-496
932747733,1534
932747733,2673
932747733,4402
932747733,-3406
932747733,339
932747733,2605
932747733,3129
932747733,-5669
932747733,-573
932747733,-3670
932747733,-1200
