client_id,value
932750209,-2945
932750209,3516
932750209,-5080
932750209,6336
932750209,3516
932750209,4056
932750209,-5019
932750209,446
932750209,840
932750209,2575
932750209,-3271
932750209,-5372
932750209,-697
932750209,-4879
932750209,-4537
932750209,-5679
932750209,-1115
932750209,-4812
932750209,3155
932750209,-4540
932750209,5319
932750209,22
932750209,5384
932750209,2099
932750209,-7475
932750209,4209
932750209,-2658
932750209,2741
932750209,11703
932750209,-38
932750209,4762
932750209,4612
932750209,-2108
932750209,-804
932750209,3242
932750209,5746
932750209,-6088
932750209,-7068
932750209,-765
932750209,5676
932750209,9937
932750209,1031
932750209,1644
932750209,2250
932750209,-150
932750209,1960
932750209,686
932750209,4632
932750209,-1902
932750209,4721
932750209,7395
932750209,9613
932750209,1056
932750209,2306
932750209,-2185
932750209,7582
932750209,-2356
