client_id,value
932747952,-4303
932747952,-853
932747952,2574
932747952,1581
932747952,-2369
932747952,4097
932747952,-1940
932747952,2227
932747952,-4055
932747952,10834
932747952,5191
932747952,903
932747952,1311
932747952,1099
932747952,-1404
932747952,-4014
932747952,3331
932747952,-655
932747952,5079
932747952,-1141
932747952,3753
932747952,2698
932747952,3479
932747952,-2415
932747952,5415
932747952,-377
932747952,-4747
932747952,-7525
932747952,-5804
932747952,-889
932747952,-6971
932747952,-644
932747952,5638
932747952,-2875
932747952,1910
932747952,612
932747952,-836
932747952,-2531
932747952,3079
932747952,5460
932747952,-11604
932747952,9889
932747952,5173
932747952,1586
932747952,563
932747952,-6537
932747952,5766
932747952,1471
932747952,7653
932747952,5172
932747952,4127
932747952,10106
932747952,-4522
932747952,-657
932747952,5661
932747952,8072
932747952,-5216
932747952,-78
932747952,-3056
932747952,7902
932747952,-6750
932747952,-4392
932747952,4240
932747952,-3132
932747952,1656
932747952,-5377
932747952,-7833
932747952,-8960
932747952,5977
932747952,8887
932747952,5940
932747952,-4891
932747952,-2076
932747952,-167
932747952,-4881
932747952,-505
932747952,6502
932747952,-2978
932747952,-3985
932747952,-2077
932747952,-3448
932747952,6712
932747952,-5069
932747952,-6231
932747952,378
932747952,4640
932747952,-4702
932747952,3327
932747952,360
932747952,3505
932747952,13
932747952,5296
932747952,-13643
932747952,-6016
932747952,-5678
932747952,9825
932747952,-7132
932747952,-3968
932747952,-3564
932747952,-759
932747952,-3439
932747952,-6370
932747952,259
932747952,5391
932747952,-6376
932747952,4629
932747952,422
932747952,3283
932747952,633
932747952,8458
932747952,-218
932747952,698
932747952,95
932747952,11473
932747952,-4034
932747952,-2149
932747952,1227
932747952,-5109
932747952,-4912
932747952,-5543
932747952,-2620
932747952,-3268
932747952,4065
932747952,-3822
932747952,-2088
932747952,-436
932747952,2309
