client_id,value
932747959,1058
932747959,-8270
932747959,-2191
932747959,627
932747959,2421
932747959,-244
932747959,-1041
932747959,4466
932747959,4107
932747959,-4415
932747959,12710
932747959,11006
932747959,-809
932747959,355
932747959,4079
932747959,1046
932747959,1720
932747959,-3298
932747959,228
932747959,-2425
932747959,-1856
932747959,2248
932747959,-1452
932747959,5745
932747959,-9881
932747959,488
932747959,2403
932747959,8259
932747959,4638
932747959,5975
932747959,4169
932747959,4355
932747959,-6040
932747959,-2795
932747959,-1095
932747959,1923
932747959,-6651
932747959,1977
932747959,-4136
932747959,9570
932747959,-2827
932747959,1427
932747959,-8011
932747959,2248
932747959,-283
932747959,2952
932747959,-499
932747959,218
932747959,2469
932747959,-9778
932747959,-6571
932747959,494
932747959,-6653
932747959,-3071
932747959,6792
932747959,7252
932747959,2953
932747959,-1617
932747959,-6804
932747959,1955
932747959,-1462
932747959,-2963
932747959,-111
932747959,124
932747959,-5852
932747959,274
932747959,3049
932747959,3973
932747959,-866
932747959,3081
932747959,-1270
932747959,-1884
932747959,592
932747959,-4084
932747959,160
932747959,6193
932747959,-835
932747959,3525
932747959,-168
932747959,4598
932747959,1629
932747959,6217
932747959,-5290
932747959,-1079
932747959,314
932747959,3490
932747959,-10514
932747959,3176
932747959,-16086
932747959,-4009
932747959,-9156
932747959,4163
932747959,5096
932747959,4741
932747959,-1633
932747959,-5432
932747959,57
932747959,-3919
932747959,-1
932747959,1277
932747959,-1488
932747959,2693
932747959,-14940
932747959,-8600
932747959,-8820
932747959,3032
932747959,-8512
932747959,-1772
932747959,-3117
932747959,3899
932747959,246
932747959,172
932747959,4446
932747959,-1060
932747959,5977
932747959,1782
932747959,1410
932747959,1132
932747959,-5156
932747959,4519
932747959,-5098
932747959,1331
932747959,2498
932747959,212
932747959,277
932747959,5233
932747959,2885
932747959,-7201
932747959,-2746
932747959,-5242
932747959,1899
932747959,1162
932747959,-3241
932747959,3769
932747959,-3232
932747959,813
932747959,1494
932747959,1824
932747959,-3234
932747959,-1135
932747959,-2620
932747959,1655
