client_id,value
932749354,-3778
932749354,-6092
932749354,-3268
932749354,-6659
932749354,767
932749354,-7281
932749354,-798
932749354,-6795
932749354,2024
932749354,6713
932749354,-2939
932749354,-5268
932749354,1371
932749354,-2263
932749354,-2247
932749354,-5009
932749354,1780
932749354,-12532
932749354,4355
932749354,2479
932749354,2732
932749354,2799
932749354,4170
932749354,-7994
932749354,-75
932749354,5256
932749354,3685
932749354,7845
932749354,-4208
932749354,-941
932749354,-3649
932749354,2202
932749354,2760
932749354,-868
932749354,-856
932749354,-8576
932749354,3848
932749354,5323
932749354,7067
932749354,-6189
932749354,10580
932749354,159
932749354,705
932749354,-3806
932749354,6368
932749354,1129
932749354,4020
932749354,6216
932749354,-1533
932749354,-1879
932749354,-2175
932749354,-4734
932749354,5677
932749354,-14511
932749354,3845
932749354,-3387
932749354,5511
932749354,981
932749354,8649
932749354,-2696
932749354,2924
932749354,-1296
932749354,-3926
932749354,7706
932749354,6907
932749354,-8238
932749354,-6863
932749354,-561
932749354,1138
932749354,-8452
932749354,-10303
932749354,-1534
932749354,-4153
932749354,2648
932749354,4259
932749354,8902
932749354,2494
932749354,-1088
932749354,3373
932749354,-769
932749354,8404
932749354,1501
932749354,8796
932749354,637
932749354,6317
932749354,-2708
932749354,8342
932749354,-408
932749354,4987
932749354,398
932749354,6428
932749354,851
932749354,2747
932749354,-4404
932749354,622
932749354,1667
932749354,5993
932749354,6084
932749354,-6417
932749354,5056
932749354,8065
932749354,-7916
932749354,8894
932749354,233
932749354,8058
932749354,-2544
932749354,-2511
932749354,1609
932749354,1464
932749354,-5
932749354,-7242
932749354,-1859
932749354,-3874
